index	name	abbreviation	r	g	b	a
164	Right-Subcortical-Gray-Matter	Right-Subcortical-Gray-Matter	122	186	220	0
165	Skull	Skull	120	120	120	0
166	Posterior-fossa	Posterior-fossa	14	48	255	0
167	Scalp	Scalp	166	42	42	0
168	Hematoma	Hematoma	121	18	134	0
169	Left-Basal-Ganglia	Left-Basal-Ganglia	236	13	127	0
176	Right-Basal-Ganglia	Right-Basal-Ganglia	236	13	126	0
170	brainstem	brainstem	119	159	176	0
171	DCG	DCG	119	0	176	0
172	Vermis	Vermis	119	100	176	0
173	Midbrain	Midbrain	242	104	76	0
174	Pons	Pons	206	195	58	0
175	Medulla	Medulla	119	159	176	0
177	Vermis-White-Matter	Vermis-White-Matter	119	50	176	0
178	SCP	SCP	142	182	0	0
179	Floculus	Floculus	19	100	176	0
180	Left-Cortical-Dysplasia	Left-Cortical-Dysplasia	73	61	139	0
181	Right-Cortical-Dysplasia	Right-Cortical-Dysplasia	73	62	139	0
182	CblumNodulus	CblumNodulus	10	100	176	0
193	Left-hippocampal_fissure	Left-hippocampal_fissure	0	196	255	0
194	Left-CADG-head	Left-CADG-head	255	164	164	0
195	Left-subiculum	Left-subiculum	196	196	0	0
196	Left-fimbria	Left-fimbria	0	100	255	0
197	Right-hippocampal_fissure	Right-hippocampal_fissure	128	196	164	0
198	Right-CADG-head	Right-CADG-head	0	126	75	0
199	Right-subiculum	Right-subiculum	128	96	64	0
200	Right-fimbria	Right-fimbria	0	50	128	0
201	alveus	alveus	255	204	153	0
202	perforant_pathway	perforant_pathway	255	128	128	0
203	parasubiculum	parasubiculum	255	255	0	0
204	presubiculum	presubiculum	64	0	64	0
205	subiculum	subiculum	0	0	255	0
206	CA1	CA1	255	0	0	0
207	CA2	CA2	128	128	255	0
208	CA3	CA3	0	128	0	0
209	CA4	CA4	196	160	128	0
210	GC-DG	GC-DG	32	200	255	0
211	HATA	HATA	128	255	128	0
212	fimbria	fimbria	204	153	204	0
213	lateral_ventricle	lateral_ventricle	121	17	136	0
214	molecular_layer_HP	molecular_layer_HP	128	0	0	0
215	hippocampal_fissure	hippocampal_fissure	128	32	255	0
216	entorhinal_cortex	entorhinal_cortex	255	204	102	0
217	molecular_layer_subiculum	molecular_layer_subiculum	128	128	128	0
218	Amygdala	Amygdala	104	255	255	0
219	Cerebral_White_Matter	Cerebral_White_Matter	0	226	0	0
220	Cerebral_Cortex	Cerebral_Cortex	205	63	78	0
221	Inf_Lat_Vent	Inf_Lat_Vent	197	58	250	0
222	Perirhinal	Perirhinal	33	150	250	0
223	Cerebral_White_Matter_Edge	Cerebral_White_Matter_Edge	226	0	0	0
224	Background	Background	100	100	100	0
225	Ectorhinal	Ectorhinal	197	150	250	0
226	HP_tail	HP_tail	170	170	255	0
250	Fornix	Fornix	255	0	0	0
251	CC_Posterior	CC_Posterior	0	0	64	0
252	CC_Mid_Posterior	CC_Mid_Posterior	0	0	112	0
253	CC_Central	CC_Central	0	0	160	0
254	CC_Mid_Anterior	CC_Mid_Anterior	0	0	208	0
255	CC_Anterior	CC_Anterior	0	0	255	0
256	Voxel-Unchanged	Voxel-Unchanged	0	0	0	0
257	CSF-ExtraCerebral	CSF-ExtraCerebral	60	60	60	0
258	Head-ExtraCerebral	Head-ExtraCerebral	150	150	200	0
259	SkullApprox	SkullApprox	120	120	120	0
260	BoneOrAir	BoneOrAir	119	159	176	0
261	PossibleFluid	PossibleFluid	120	18	134	0
262	Sinus	Sinus	119	159	176	0
263	Left-Eustachian	Left-Eustachian	119	159	176	0
264	Right-Eustachian	Right-Eustachian	119	159	176	0
331	Aorta	Aorta	255	0	0	0
332	Left-Common-IliacA	Left-Common-IliacA	255	80	0	0
333	Right-Common-IliacA	Right-Common-IliacA	255	160	0	0
334	Left-External-IliacA	Left-External-IliacA	255	255	0	0
335	Right-External-IliacA	Right-External-IliacA	0	255	0	0
336	Left-Internal-IliacA	Left-Internal-IliacA	255	0	160	0
337	Right-Internal-IliacA	Right-Internal-IliacA	255	0	255	0
338	Left-Lateral-SacralA	Left-Lateral-SacralA	255	50	80	0
339	Right-Lateral-SacralA	Right-Lateral-SacralA	80	255	50	0
340	Left-ObturatorA	Left-ObturatorA	160	255	50	0
341	Right-ObturatorA	Right-ObturatorA	160	200	255	0
342	Left-Internal-PudendalA	Left-Internal-PudendalA	0	255	160	0
343	Right-Internal-PudendalA	Right-Internal-PudendalA	0	0	255	0
344	Left-UmbilicalA	Left-UmbilicalA	80	50	255	0
345	Right-UmbilicalA	Right-UmbilicalA	160	0	255	0
346	Left-Inf-RectalA	Left-Inf-RectalA	255	210	0	0
347	Right-Inf-RectalA	Right-Inf-RectalA	0	160	255	0
348	Left-Common-IliacV	Left-Common-IliacV	255	200	80	0
349	Right-Common-IliacV	Right-Common-IliacV	255	200	160	0
350	Left-External-IliacV	Left-External-IliacV	255	80	200	0
351	Right-External-IliacV	Right-External-IliacV	255	160	200	0
352	Left-Internal-IliacV	Left-Internal-IliacV	30	255	80	0
353	Right-Internal-IliacV	Right-Internal-IliacV	80	200	255	0
354	Left-ObturatorV	Left-ObturatorV	80	255	200	0
355	Right-ObturatorV	Right-ObturatorV	195	255	200	0
356	Left-Internal-PudendalV	Left-Internal-PudendalV	120	200	20	0
357	Right-Internal-PudendalV	Right-Internal-PudendalV	170	10	200	0
358	Pos-Lymph	Pos-Lymph	20	130	180	0
359	Neg-Lymph	Neg-Lymph	20	180	130	0
400	V1	V1	206	62	78	0
401	V2	V2	121	18	134	0
402	BA44	BA44	199	58	250	0
403	BA45	BA45	1	148	0	0
404	BA4a	BA4a	221	248	164	0
405	BA4p	BA4p	231	148	34	0
406	BA6	BA6	1	118	14	0
407	BA2	BA2	120	118	14	0
408	BA1_old	BA1_old	123	186	221	0
409	BAun2	BAun2	238	13	177	0
410	BA1	BA1	123	186	220	0
411	BA2b	BA2b	138	13	206	0
412	BA3a	BA3a	238	130	176	0
413	BA3b	BA3b	218	230	76	0
414	MT	MT	38	213	176	0
415	AIPS_AIP_l	AIPS_AIP_l	1	225	176	0
416	AIPS_AIP_r	AIPS_AIP_r	1	225	176	0
417	AIPS_VIP_l	AIPS_VIP_l	200	2	100	0
418	AIPS_VIP_r	AIPS_VIP_r	200	2	100	0
419	IPL_PFcm_l	IPL_PFcm_l	5	200	90	0
420	IPL_PFcm_r	IPL_PFcm_r	5	200	90	0
421	IPL_PF_l	IPL_PF_l	100	5	200	0
422	IPL_PFm_l	IPL_PFm_l	25	255	100	0
423	IPL_PFm_r	IPL_PFm_r	25	255	100	0
424	IPL_PFop_l	IPL_PFop_l	230	7	100	0
425	IPL_PFop_r	IPL_PFop_r	230	7	100	0
426	IPL_PF_r	IPL_PF_r	100	5	200	0
427	IPL_PFt_l	IPL_PFt_l	150	10	200	0
428	IPL_PFt_r	IPL_PFt_r	150	10	200	0
429	IPL_PGa_l	IPL_PGa_l	175	10	176	0
430	IPL_PGa_r	IPL_PGa_r	175	10	176	0
431	IPL_PGp_l	IPL_PGp_l	10	100	255	0
432	IPL_PGp_r	IPL_PGp_r	10	100	255	0
433	Visual_V3d_l	Visual_V3d_l	150	45	70	0
434	Visual_V3d_r	Visual_V3d_r	150	45	70	0
435	Visual_V4_l	Visual_V4_l	45	200	15	0
436	Visual_V4_r	Visual_V4_r	45	200	15	0
437	Visual_V5_b	Visual_V5_b	227	45	100	0
438	Visual_VP_l	Visual_VP_l	227	45	100	0
439	Visual_VP_r	Visual_VP_r	227	45	100	0
498	wmsa	wmsa	143	188	143	0
499	other_wmsa	other_wmsa	255	248	220	0
500	right_CA2_3	right_CA2_3	17	85	136	0
501	right_alveus	right_alveus	119	187	102	0
502	right_CA1	right_CA1	204	68	34	0
503	right_fimbria	right_fimbria	204	0	255	0
504	right_presubiculum	right_presubiculum	221	187	17	0
505	right_hippocampal_fissure	right_hippocampal_fissure	153	221	238	0
506	right_CA4_DG	right_CA4_DG	51	17	17	0
507	right_subiculum	right_subiculum	0	119	85	0
508	right_fornix	right_fornix	20	100	200	0
550	left_CA2_3	left_CA2_3	17	85	137	0
551	left_alveus	left_alveus	119	187	103	0
552	left_CA1	left_CA1	204	68	35	0
553	left_fimbria	left_fimbria	204	0	254	0
554	left_presubiculum	left_presubiculum	221	187	16	0
555	left_hippocampal_fissure	left_hippocampal_fissure	153	221	239	0
556	left_CA4_DG	left_CA4_DG	51	17	18	0
557	left_subiculum	left_subiculum	0	119	86	0
558	left_fornix	left_fornix	20	100	201	0
600	Tumor	Tumor	254	254	254	0
601	Cbm_Left_I_IV	Cbm_Left_I_IV	70	130	180	0
