index	name	abbreviation	r	g	b	a
3126	wm-lh-G_precentral	wm-lh-G_precentral	60	140	180	0
3127	wm-lh-G_precuneus	wm-lh-G_precuneus	25	20	140	0
3128	wm-lh-G_rectus	wm-lh-G_rectus	20	60	100	0
3129	wm-lh-G_subcallosal	wm-lh-G_subcallosal	60	220	20	0
3130	wm-lh-G_subcentral	wm-lh-G_subcentral	60	20	220	0
3131	wm-lh-G_temporal_inferior	wm-lh-G_temporal_inferior	220	220	100	0
3132	wm-lh-G_temporal_middle	wm-lh-G_temporal_middle	180	60	60	0
3133	wm-lh-G_temp_sup-G_temp_transv_and_interm_S	wm-lh-G_temp_sup-G_temp_transv_and_interm_S	60	60	220	0
3134	wm-lh-G_temp_sup-Lateral_aspect	wm-lh-G_temp_sup-Lateral_aspect	220	60	220	0
3135	wm-lh-G_temp_sup-Planum_polare	wm-lh-G_temp_sup-Planum_polare	65	220	60	0
3136	wm-lh-G_temp_sup-Planum_tempolare	wm-lh-G_temp_sup-Planum_tempolare	25	140	20	0
3137	wm-lh-G_and_S_transverse_frontopolar	wm-lh-G_and_S_transverse_frontopolar	13	0	250	0
3138	wm-lh-Lat_Fissure-ant_sgt-ramus_horizontal	wm-lh-Lat_Fissure-ant_sgt-ramus_horizontal	61	20	220	0
3139	wm-lh-Lat_Fissure-ant_sgt-ramus_vertical	wm-lh-Lat_Fissure-ant_sgt-ramus_vertical	61	20	60	0
3140	wm-lh-Lat_Fissure-post_sgt	wm-lh-Lat_Fissure-post_sgt	61	60	100	0
3141	wm-lh-Medial_wall	wm-lh-Medial_wall	25	25	25	0
3142	wm-lh-Pole_occipital	wm-lh-Pole_occipital	140	20	60	0
3143	wm-lh-Pole_temporal	wm-lh-Pole_temporal	220	180	20	0
3144	wm-lh-S_calcarine	wm-lh-S_calcarine	63	180	180	0
3145	wm-lh-S_central	wm-lh-S_central	221	20	10	0
3146	wm-lh-S_central_insula	wm-lh-S_central_insula	21	220	20	0
3147	wm-lh-S_cingulate-Main_part_and_Intracingulate	wm-lh-S_cingulate-Main_part_and_Intracingulate	183	100	20	0
3148	wm-lh-S_cingulate-Marginalis_part	wm-lh-S_cingulate-Marginalis_part	221	20	100	0
3149	wm-lh-S_circular_insula_anterior	wm-lh-S_circular_insula_anterior	221	60	140	0
3150	wm-lh-S_circular_insula_inferior	wm-lh-S_circular_insula_inferior	221	20	220	0
3151	wm-lh-S_circular_insula_superior	wm-lh-S_circular_insula_superior	61	220	220	0
3152	wm-lh-S_collateral_transverse_ant	wm-lh-S_collateral_transverse_ant	100	200	200	0
3153	wm-lh-S_collateral_transverse_post	wm-lh-S_collateral_transverse_post	10	200	200	0
3154	wm-lh-S_frontal_inferior	wm-lh-S_frontal_inferior	221	220	20	0
3155	wm-lh-S_frontal_middle	wm-lh-S_frontal_middle	141	20	100	0
3156	wm-lh-S_frontal_superior	wm-lh-S_frontal_superior	61	220	100	0
3157	wm-lh-S_frontomarginal	wm-lh-S_frontomarginal	21	220	60	0
3158	wm-lh-S_intermedius_primus-Jensen	wm-lh-S_intermedius_primus-Jensen	141	60	20	0
3159	wm-lh-S_intraparietal-and_Parietal_transverse	wm-lh-S_intraparietal-and_Parietal_transverse	143	20	220	0
3160	wm-lh-S_occipital_anterior	wm-lh-S_occipital_anterior	61	20	180	0
3161	wm-lh-S_occipital_middle_and_Lunatus	wm-lh-S_occipital_middle_and_Lunatus	101	60	220	0
3162	wm-lh-S_occipital_superior_and_transversalis	wm-lh-S_occipital_superior_and_transversalis	21	20	140	0
3163	wm-lh-S_occipito-temporal_lateral	wm-lh-S_occipito-temporal_lateral	221	140	20	0
3164	wm-lh-S_occipito-temporal_medial_and_S_Lingual	wm-lh-S_occipito-temporal_medial_and_S_Lingual	141	100	220	0
3165	wm-lh-S_orbital-H_shapped	wm-lh-S_orbital-H_shapped	101	20	20	0
3166	wm-lh-S_orbital_lateral	wm-lh-S_orbital_lateral	221	100	20	0
3167	wm-lh-S_orbital_medial-Or_olfactory	wm-lh-S_orbital_medial-Or_olfactory	181	200	20	0
3168	wm-lh-S_paracentral	wm-lh-S_paracentral	21	180	140	0
3169	wm-lh-S_parieto_occipital	wm-lh-S_parieto_occipital	101	100	180	0
3170	wm-lh-S_pericallosal	wm-lh-S_pericallosal	181	220	20	0
3171	wm-lh-S_postcentral	wm-lh-S_postcentral	21	140	200	0
3172	wm-lh-S_precentral-Inferior-part	wm-lh-S_precentral-Inferior-part	21	20	240	0
3173	wm-lh-S_precentral-Superior-part	wm-lh-S_precentral-Superior-part	21	20	200	0
3174	wm-lh-S_subcentral_ant	wm-lh-S_subcentral_ant	61	180	60	0
3175	wm-lh-S_subcentral_post	wm-lh-S_subcentral_post	61	180	250	0
3176	wm-lh-S_suborbital	wm-lh-S_suborbital	21	20	60	0
3177	wm-lh-S_subparietal	wm-lh-S_subparietal	101	60	60	0
3178	wm-lh-S_supracingulate	wm-lh-S_supracingulate	21	220	220	0
3179	wm-lh-S_temporal_inferior	wm-lh-S_temporal_inferior	21	180	180	0
3180	wm-lh-S_temporal_superior	wm-lh-S_temporal_superior	223	220	60	0
3181	wm-lh-S_temporal_transverse	wm-lh-S_temporal_transverse	221	60	60	0
4100	wm-rh-Unknown	wm-rh-Unknown	0	0	0	0
4101	wm-rh-Corpus_callosum	wm-rh-Corpus_callosum	50	50	50	0
4102	wm-rh-G_and_S_Insula_ONLY_AVERAGE	wm-rh-G_and_S_Insula_ONLY_AVERAGE	180	20	30	0
4103	wm-rh-G_cingulate-Isthmus	wm-rh-G_cingulate-Isthmus	60	25	25	0
4104	wm-rh-G_cingulate-Main_part	wm-rh-G_cingulate-Main_part	25	60	60	0
4105	wm-rh-G_cuneus	wm-rh-G_cuneus	180	20	20	0
4106	wm-rh-G_frontal_inf-Opercular_part	wm-rh-G_frontal_inf-Opercular_part	220	20	100	0
4107	wm-rh-G_frontal_inf-Orbital_part	wm-rh-G_frontal_inf-Orbital_part	140	60	60	0
4108	wm-rh-G_frontal_inf-Triangular_part	wm-rh-G_frontal_inf-Triangular_part	180	220	140	0
4109	wm-rh-G_frontal_middle	wm-rh-G_frontal_middle	140	100	180	0
4110	wm-rh-G_frontal_superior	wm-rh-G_frontal_superior	180	20	140	0
4111	wm-rh-G_frontomarginal	wm-rh-G_frontomarginal	140	20	140	0
4112	wm-rh-G_insular_long	wm-rh-G_insular_long	21	10	10	0
4113	wm-rh-G_insular_short	wm-rh-G_insular_short	225	140	140	0
4114	wm-rh-G_and_S_occipital_inferior	wm-rh-G_and_S_occipital_inferior	23	60	180	0
4115	wm-rh-G_occipital_middle	wm-rh-G_occipital_middle	180	60	180	0
4116	wm-rh-G_occipital_superior	wm-rh-G_occipital_superior	20	220	60	0
4117	wm-rh-G_occipit-temp_lat-Or_fusiform	wm-rh-G_occipit-temp_lat-Or_fusiform	60	20	140	0
4118	wm-rh-G_occipit-temp_med-Lingual_part	wm-rh-G_occipit-temp_med-Lingual_part	220	180	140	0
4119	wm-rh-G_occipit-temp_med-Parahippocampal_part	wm-rh-G_occipit-temp_med-Parahippocampal_part	65	100	20	0
4120	wm-rh-G_orbital	wm-rh-G_orbital	220	60	20	0
4121	wm-rh-G_paracentral	wm-rh-G_paracentral	60	100	60	0
4122	wm-rh-G_parietal_inferior-Angular_part	wm-rh-G_parietal_inferior-Angular_part	20	60	220	0
4123	wm-rh-G_parietal_inferior-Supramarginal_part	wm-rh-G_parietal_inferior-Supramarginal_part	100	100	60	0
4124	wm-rh-G_parietal_superior	wm-rh-G_parietal_superior	220	180	220	0
4125	wm-rh-G_postcentral	wm-rh-G_postcentral	20	180	140	0
4126	wm-rh-G_precentral	wm-rh-G_precentral	60	140	180	0
4127	wm-rh-G_precuneus	wm-rh-G_precuneus	25	20	140	0
4128	wm-rh-G_rectus	wm-rh-G_rectus	20	60	100	0
4129	wm-rh-G_subcallosal	wm-rh-G_subcallosal	60	220	20	0
4130	wm-rh-G_subcentral	wm-rh-G_subcentral	60	20	220	0
4131	wm-rh-G_temporal_inferior	wm-rh-G_temporal_inferior	220	220	100	0
4132	wm-rh-G_temporal_middle	wm-rh-G_temporal_middle	180	60	60	0
4133	wm-rh-G_temp_sup-G_temp_transv_and_interm_S	wm-rh-G_temp_sup-G_temp_transv_and_interm_S	60	60	220	0
4134	wm-rh-G_temp_sup-Lateral_aspect	wm-rh-G_temp_sup-Lateral_aspect	220	60	220	0
4135	wm-rh-G_temp_sup-Planum_polare	wm-rh-G_temp_sup-Planum_polare	65	220	60	0
4136	wm-rh-G_temp_sup-Planum_tempolare	wm-rh-G_temp_sup-Planum_tempolare	25	140	20	0
4137	wm-rh-G_and_S_transverse_frontopolar	wm-rh-G_and_S_transverse_frontopolar	13	0	250	0
4138	wm-rh-Lat_Fissure-ant_sgt-ramus_horizontal	wm-rh-Lat_Fissure-ant_sgt-ramus_horizontal	61	20	220	0
4139	wm-rh-Lat_Fissure-ant_sgt-ramus_vertical	wm-rh-Lat_Fissure-ant_sgt-ramus_vertical	61	20	60	0
4140	wm-rh-Lat_Fissure-post_sgt	wm-rh-Lat_Fissure-post_sgt	61	60	100	0
4141	wm-rh-Medial_wall	wm-rh-Medial_wall	25	25	25	0
4142	wm-rh-Pole_occipital	wm-rh-Pole_occipital	140	20	60	0
4143	wm-rh-Pole_temporal	wm-rh-Pole_temporal	220	180	20	0
4144	wm-rh-S_calcarine	wm-rh-S_calcarine	63	180	180	0
4145	wm-rh-S_central	wm-rh-S_central	221	20	10	0
4146	wm-rh-S_central_insula	wm-rh-S_central_insula	21	220	20	0
4147	wm-rh-S_cingulate-Main_part_and_Intracingulate	wm-rh-S_cingulate-Main_part_and_Intracingulate	183	100	20	0
4148	wm-rh-S_cingulate-Marginalis_part	wm-rh-S_cingulate-Marginalis_part	221	20	100	0
4149	wm-rh-S_circular_insula_anterior	wm-rh-S_circular_insula_anterior	221	60	140	0
4150	wm-rh-S_circular_insula_inferior	wm-rh-S_circular_insula_inferior	221	20	220	0
4151	wm-rh-S_circular_insula_superior	wm-rh-S_circular_insula_superior	61	220	220	0
4152	wm-rh-S_collateral_transverse_ant	wm-rh-S_collateral_transverse_ant	100	200	200	0
4153	wm-rh-S_collateral_transverse_post	wm-rh-S_collateral_transverse_post	10	200	200	0
4154	wm-rh-S_frontal_inferior	wm-rh-S_frontal_inferior	221	220	20	0
4155	wm-rh-S_frontal_middle	wm-rh-S_frontal_middle	141	20	100	0
4156	wm-rh-S_frontal_superior	wm-rh-S_frontal_superior	61	220	100	0
4157	wm-rh-S_frontomarginal	wm-rh-S_frontomarginal	21	220	60	0
4158	wm-rh-S_intermedius_primus-Jensen	wm-rh-S_intermedius_primus-Jensen	141	60	20	0
4159	wm-rh-S_intraparietal-and_Parietal_transverse	wm-rh-S_intraparietal-and_Parietal_transverse	143	20	220	0
4160	wm-rh-S_occipital_anterior	wm-rh-S_occipital_anterior	61	20	180	0
4161	wm-rh-S_occipital_middle_and_Lunatus	wm-rh-S_occipital_middle_and_Lunatus	101	60	220	0
4162	wm-rh-S_occipital_superior_and_transversalis	wm-rh-S_occipital_superior_and_transversalis	21	20	140	0
4163	wm-rh-S_occipito-temporal_lateral	wm-rh-S_occipito-temporal_lateral	221	140	20	0
4164	wm-rh-S_occipito-temporal_medial_and_S_Lingual	wm-rh-S_occipito-temporal_medial_and_S_Lingual	141	100	220	0
4165	wm-rh-S_orbital-H_shapped	wm-rh-S_orbital-H_shapped	101	20	20	0
4166	wm-rh-S_orbital_lateral	wm-rh-S_orbital_lateral	221	100	20	0
4167	wm-rh-S_orbital_medial-Or_olfactory	wm-rh-S_orbital_medial-Or_olfactory	181	200	20	0
4168	wm-rh-S_paracentral	wm-rh-S_paracentral	21	180	140	0
4169	wm-rh-S_parieto_occipital	wm-rh-S_parieto_occipital	101	100	180	0
4170	wm-rh-S_pericallosal	wm-rh-S_pericallosal	181	220	20	0
4171	wm-rh-S_postcentral	wm-rh-S_postcentral	21	140	200	0
4172	wm-rh-S_precentral-Inferior-part	wm-rh-S_precentral-Inferior-part	21	20	240	0
4173	wm-rh-S_precentral-Superior-part	wm-rh-S_precentral-Superior-part	21	20	200	0
4174	wm-rh-S_subcentral_ant	wm-rh-S_subcentral_ant	61	180	60	0
4175	wm-rh-S_subcentral_post	wm-rh-S_subcentral_post	61	180	250	0
4176	wm-rh-S_suborbital	wm-rh-S_suborbital	21	20	60	0
4177	wm-rh-S_subparietal	wm-rh-S_subparietal	101	60	60	0
4178	wm-rh-S_supracingulate	wm-rh-S_supracingulate	21	220	220	0
4179	wm-rh-S_temporal_inferior	wm-rh-S_temporal_inferior	21	180	180	0
4180	wm-rh-S_temporal_superior	wm-rh-S_temporal_superior	223	220	60	0
4181	wm-rh-S_temporal_transverse	wm-rh-S_temporal_transverse	221	60	60	0
5001	Left-UnsegmentedWhiteMatter	Left-UnsegmentedWhiteMatter	20	30	40	0
5100	fmajor	fmajor	204	102	102	0
5101	fminor	fminor	204	102	102	0
5102	lh.atr	lh.atr	255	255	102	0
5103	lh.cab	lh.cab	153	204	0	0
5104	lh.ccg	lh.ccg	0	153	153	0
5105	lh.cst	lh.cst	204	153	255	0
5106	lh.ilf	lh.ilf	255	153	51	0
5107	lh.slfp	lh.slfp	204	204	204	0
5108	lh.slft	lh.slft	153	255	255	0
5109	lh.unc	lh.unc	102	153	255	0
5110	rh.atr	rh.atr	255	255	102	0
5111	rh.cab	rh.cab	153	204	0	0
5112	rh.ccg	rh.ccg	0	153	153	0
5113	rh.cst	rh.cst	204	153	255	0
5114	rh.ilf	rh.ilf	255	153	51	0
5115	rh.slfp	rh.slfp	204	204	204	0
5116	rh.slft	rh.slft	153	255	255	0
5117	rh.unc	rh.unc	102	153	255	0
5200	CC-ForcepsMajor	CC-ForcepsMajor	204	102	102	0
5201	CC-ForcepsMinor	CC-ForcepsMinor	204	102	102	0
5202	LAntThalRadiation	LAntThalRadiation	255	255	102	0
5203	LCingulumAngBundle	LCingulumAngBundle	153	204	0	0
5204	LCingulumCingGyrus	LCingulumCingGyrus	0	153	153	0
5205	LCorticospinalTract	LCorticospinalTract	204	153	255	0
5206	LInfLongFas	LInfLongFas	255	153	51	0
5207	LSupLongFasParietal	LSupLongFasParietal	204	204	204	0
5208	LSupLongFasTemporal	LSupLongFasTemporal	153	255	255	0
5209	LUncinateFas	LUncinateFas	102	153	255	0
5210	RAntThalRadiation	RAntThalRadiation	255	255	102	0
5211	RCingulumAngBundle	RCingulumAngBundle	153	204	0	0
5212	RCingulumCingGyrus	RCingulumCingGyrus	0	153	153	0
5213	RCorticospinalTract	RCorticospinalTract	204	153	255	0
5214	RInfLongFas	RInfLongFas	255	153	51	0
5215	RSupLongFasParietal	RSupLongFasParietal	204	204	204	0
5216	RSupLongFasTemporal	RSupLongFasTemporal	153	255	255	0
5217	RUncinateFas	RUncinateFas	102	153	255	0
6000	CST-orig	CST-orig	0	255	0	0
6001	CST-hammer	CST-hammer	255	255	0	0
6002	CST-CVS	CST-CVS	0	255	255	0
6003	CST-flirt	CST-flirt	0	0	255	0
6010	Left-SLF1	Left-SLF1	236	16	231	0
6020	Right-SLF1	Right-SLF1	237	18	232	0
6030	Left-SLF3	Left-SLF3	236	13	227	0
6040	Right-SLF3	Right-SLF3	236	17	228	0
6050	Left-CST	Left-CST	1	255	1	0
6060	Right-CST	Right-CST	2	255	1	0
6070	Left-SLF2	Left-SLF2	236	14	230	0
6080	Right-SLF2	Right-SLF2	237	14	230	0
7001	Lateral-nucleus	Lateral-nucleus	72	132	181	0
7002	Basolateral-nucleus	Basolateral-nucleus	243	243	243	0
7003	Basal-nucleus	Basal-nucleus	207	63	79	0
7004	Centromedial-nucleus	Centromedial-nucleus	121	20	135	0
7005	Central-nucleus	Central-nucleus	197	60	248	0
7006	Medial-nucleus	Medial-nucleus	2	149	2	0
7007	Cortical-nucleus	Cortical-nucleus	221	249	166	0
7008	Accessory-Basal-nucleus	Accessory-Basal-nucleus	232	146	35	0
7009	Corticoamygdaloid-transitio	Corticoamygdaloid-transitio	20	60	120	0
7010	Anterior-amygdaloid-area-AAA	Anterior-amygdaloid-area-AAA	250	250	0	0
7011	Fusion-amygdala-HP-FAH	Fusion-amygdala-HP-FAH	122	187	222	0
7012	Hippocampal-amygdala-transition-HATA	Hippocampal-amygdala-transition-HATA	237	12	177	0
7013	Endopiriform-nucleus	Endopiriform-nucleus	10	49	255	0
7014	Lateral-nucleus-olfactory-tract	Lateral-nucleus-olfactory-tract	205	184	144	0
7015	Paralaminar-nucleus	Paralaminar-nucleus	45	205	165	0
7016	Intercalated-nucleus	Intercalated-nucleus	117	160	175	0
7017	Prepiriform-cortex	Prepiriform-cortex	221	217	21	0
7018	Periamygdaloid-cortex	Periamygdaloid-cortex	20	60	120	0
7019	Envelope-Amygdala	Envelope-Amygdala	141	21	100	0
7020	Extranuclear-Amydala	Extranuclear-Amydala	225	140	141	0
7100	Brainstem-inferior-colliculus	Brainstem-inferior-colliculus	42	201	168	0
7101	Brainstem-cochlear-nucleus	Brainstem-cochlear-nucleus	168	104	162	0
8001	Thalamus-Anterior	Thalamus-Anterior	74	130	181	0
8002	Thalamus-Ventral-anterior	Thalamus-Ventral-anterior	242	241	240	0
8003	Thalamus-Lateral-dorsal	Thalamus-Lateral-dorsal	206	65	78	0
8004	Thalamus-Lateral-posterior	Thalamus-Lateral-posterior	120	21	133	0
8005	Thalamus-Ventral-lateral	Thalamus-Ventral-lateral	195	61	246	0
8006	Thalamus-Ventral-posterior-medial	Thalamus-Ventral-posterior-medial	3	147	6	0
8007	Thalamus-Ventral-posterior-lateral	Thalamus-Ventral-posterior-lateral	220	251	163	0
8008	Thalamus-intralaminar	Thalamus-intralaminar	232	146	33	0
8009	Thalamus-centromedian	Thalamus-centromedian	4	114	14	0
8010	Thalamus-mediodorsal	Thalamus-mediodorsal	121	184	220	0
8011	Thalamus-medial	Thalamus-medial	235	11	175	0
8012	Thalamus-pulvinar	Thalamus-pulvinar	12	46	250	0
8013	Thalamus-lateral-geniculate	Thalamus-lateral-geniculate	203	182	143	0
8014	Thalamus-medial-geniculate	Thalamus-medial-geniculate	42	204	167	0
9000	ctx-lh-prefrontal	ctx-lh-prefrontal	50	100	30	0
9001	ctx-lh-primary-motor	ctx-lh-primary-motor	30	100	45	0
9002	ctx-lh-premotor	ctx-lh-premotor	130	100	165	0
9003	ctx-lh-temporal	ctx-lh-temporal	105	25	5	0
9004	ctx-lh-posterior-parietal	ctx-lh-posterior-parietal	125	70	55	0
9005	ctx-lh-prim-sec-somatosensory	ctx-lh-prim-sec-somatosensory	225	20	105	0
9006	ctx-lh-occipital	ctx-lh-occipital	225	20	15	0
9500	ctx-rh-prefrontal	ctx-rh-prefrontal	50	200	30	0
9501	ctx-rh-primary-motor	ctx-rh-primary-motor	30	150	45	0
9502	ctx-rh-premotor	ctx-rh-premotor	130	150	165	0
9503	ctx-rh-temporal	ctx-rh-temporal	105	75	5	0
9504	ctx-rh-posterior-parietal	ctx-rh-posterior-parietal	125	120	55	0
9505	ctx-rh-prim-sec-somatosensory	ctx-rh-prim-sec-somatosensory	225	70	105	0
9506	ctx-rh-occipital	ctx-rh-occipital	225	70	15	0
11100	ctx_lh_Unknown	ctx_lh_Unknown	0	0	0	0
11101	ctx_lh_G_and_S_frontomargin	ctx_lh_G_and_S_frontomargin	23	220	60	0
11102	ctx_lh_G_and_S_occipital_inf	ctx_lh_G_and_S_occipital_inf	23	60	180	0
11103	ctx_lh_G_and_S_paracentral	ctx_lh_G_and_S_paracentral	63	100	60	0
11104	ctx_lh_G_and_S_subcentral	ctx_lh_G_and_S_subcentral	63	20	220	0
11105	ctx_lh_G_and_S_transv_frontopol	ctx_lh_G_and_S_transv_frontopol	13	0	250	0
11106	ctx_lh_G_and_S_cingul-Ant	ctx_lh_G_and_S_cingul-Ant	26	60	0	0
11107	ctx_lh_G_and_S_cingul-Mid-Ant	ctx_lh_G_and_S_cingul-Mid-Ant	26	60	75	0
11108	ctx_lh_G_and_S_cingul-Mid-Post	ctx_lh_G_and_S_cingul-Mid-Post	26	60	150	0
11109	ctx_lh_G_cingul-Post-dorsal	ctx_lh_G_cingul-Post-dorsal	25	60	250	0
11110	ctx_lh_G_cingul-Post-ventral	ctx_lh_G_cingul-Post-ventral	60	25	25	0
11111	ctx_lh_G_cuneus	ctx_lh_G_cuneus	180	20	20	0
11112	ctx_lh_G_front_inf-Opercular	ctx_lh_G_front_inf-Opercular	220	20	100	0
11113	ctx_lh_G_front_inf-Orbital	ctx_lh_G_front_inf-Orbital	140	60	60	0
11114	ctx_lh_G_front_inf-Triangul	ctx_lh_G_front_inf-Triangul	180	220	140	0
11115	ctx_lh_G_front_middle	ctx_lh_G_front_middle	140	100	180	0
11116	ctx_lh_G_front_sup	ctx_lh_G_front_sup	180	20	140	0
11117	ctx_lh_G_Ins_lg_and_S_cent_ins	ctx_lh_G_Ins_lg_and_S_cent_ins	23	10	10	0
11118	ctx_lh_G_insular_short	ctx_lh_G_insular_short	225	140	140	0
11119	ctx_lh_G_occipital_middle	ctx_lh_G_occipital_middle	180	60	180	0
11120	ctx_lh_G_occipital_sup	ctx_lh_G_occipital_sup	20	220	60	0
11121	ctx_lh_G_oc-temp_lat-fusifor	ctx_lh_G_oc-temp_lat-fusifor	60	20	140	0
11122	ctx_lh_G_oc-temp_med-Lingual	ctx_lh_G_oc-temp_med-Lingual	220	180	140	0
11123	ctx_lh_G_oc-temp_med-Parahip	ctx_lh_G_oc-temp_med-Parahip	65	100	20	0
11124	ctx_lh_G_orbital	ctx_lh_G_orbital	220	60	20	0
11125	ctx_lh_G_pariet_inf-Angular	ctx_lh_G_pariet_inf-Angular	20	60	220	0
11126	ctx_lh_G_pariet_inf-Supramar	ctx_lh_G_pariet_inf-Supramar	100	100	60	0
11127	ctx_lh_G_parietal_sup	ctx_lh_G_parietal_sup	220	180	220	0
11128	ctx_lh_G_postcentral	ctx_lh_G_postcentral	20	180	140	0
11129	ctx_lh_G_precentral	ctx_lh_G_precentral	60	140	180	0
11130	ctx_lh_G_precuneus	ctx_lh_G_precuneus	25	20	140	0
11131	ctx_lh_G_rectus	ctx_lh_G_rectus	20	60	100	0
11132	ctx_lh_G_subcallosal	ctx_lh_G_subcallosal	60	220	20	0
11133	ctx_lh_G_temp_sup-G_T_transv	ctx_lh_G_temp_sup-G_T_transv	60	60	220	0
11134	ctx_lh_G_temp_sup-Lateral	ctx_lh_G_temp_sup-Lateral	220	60	220	0
11135	ctx_lh_G_temp_sup-Plan_polar	ctx_lh_G_temp_sup-Plan_polar	65	220	60	0
11136	ctx_lh_G_temp_sup-Plan_tempo	ctx_lh_G_temp_sup-Plan_tempo	25	140	20	0
11137	ctx_lh_G_temporal_inf	ctx_lh_G_temporal_inf	220	220	100	0
11138	ctx_lh_G_temporal_middle	ctx_lh_G_temporal_middle	180	60	60	0
11139	ctx_lh_Lat_Fis-ant-Horizont	ctx_lh_Lat_Fis-ant-Horizont	61	20	220	0
11140	ctx_lh_Lat_Fis-ant-Vertical	ctx_lh_Lat_Fis-ant-Vertical	61	20	60	0
11141	ctx_lh_Lat_Fis-post	ctx_lh_Lat_Fis-post	61	60	100	0
11142	ctx_lh_Medial_wall	ctx_lh_Medial_wall	25	25	25	0
11143	ctx_lh_Pole_occipital	ctx_lh_Pole_occipital	140	20	60	0
11144	ctx_lh_Pole_temporal	ctx_lh_Pole_temporal	220	180	20	0
11145	ctx_lh_S_calcarine	ctx_lh_S_calcarine	63	180	180	0
11146	ctx_lh_S_central	ctx_lh_S_central	221	20	10	0
11147	ctx_lh_S_cingul-Marginalis	ctx_lh_S_cingul-Marginalis	221	20	100	0
11148	ctx_lh_S_circular_insula_ant	ctx_lh_S_circular_insula_ant	221	60	140	0
11149	ctx_lh_S_circular_insula_inf	ctx_lh_S_circular_insula_inf	221	20	220	0
11150	ctx_lh_S_circular_insula_sup	ctx_lh_S_circular_insula_sup	61	220	220	0
11151	ctx_lh_S_collat_transv_ant	ctx_lh_S_collat_transv_ant	100	200	200	0
11152	ctx_lh_S_collat_transv_post	ctx_lh_S_collat_transv_post	10	200	200	0
11153	ctx_lh_S_front_inf	ctx_lh_S_front_inf	221	220	20	0
11154	ctx_lh_S_front_middle	ctx_lh_S_front_middle	141	20	100	0
11155	ctx_lh_S_front_sup	ctx_lh_S_front_sup	61	220	100	0
11156	ctx_lh_S_interm_prim-Jensen	ctx_lh_S_interm_prim-Jensen	141	60	20	0
11157	ctx_lh_S_intrapariet_and_P_trans	ctx_lh_S_intrapariet_and_P_trans	143	20	220	0
11158	ctx_lh_S_oc_middle_and_Lunatus	ctx_lh_S_oc_middle_and_Lunatus	101	60	220	0
11159	ctx_lh_S_oc_sup_and_transversal	ctx_lh_S_oc_sup_and_transversal	21	20	140	0
11160	ctx_lh_S_occipital_ant	ctx_lh_S_occipital_ant	61	20	180	0
11161	ctx_lh_S_oc-temp_lat	ctx_lh_S_oc-temp_lat	221	140	20	0
11162	ctx_lh_S_oc-temp_med_and_Lingual	ctx_lh_S_oc-temp_med_and_Lingual	141	100	220	0
11163	ctx_lh_S_orbital_lateral	ctx_lh_S_orbital_lateral	221	100	20	0
11164	ctx_lh_S_orbital_med-olfact	ctx_lh_S_orbital_med-olfact	181	200	20	0
11165	ctx_lh_S_orbital-H_Shaped	ctx_lh_S_orbital-H_Shaped	101	20	20	0
11166	ctx_lh_S_parieto_occipital	ctx_lh_S_parieto_occipital	101	100	180	0
11167	ctx_lh_S_pericallosal	ctx_lh_S_pericallosal	181	220	20	0
11168	ctx_lh_S_postcentral	ctx_lh_S_postcentral	21	140	200	0
11169	ctx_lh_S_precentral-inf-part	ctx_lh_S_precentral-inf-part	21	20	240	0
11170	ctx_lh_S_precentral-sup-part	ctx_lh_S_precentral-sup-part	21	20	200	0
11171	ctx_lh_S_suborbital	ctx_lh_S_suborbital	21	20	60	0
11172	ctx_lh_S_subparietal	ctx_lh_S_subparietal	101	60	60	0
11173	ctx_lh_S_temporal_inf	ctx_lh_S_temporal_inf	21	180	180	0
11174	ctx_lh_S_temporal_sup	ctx_lh_S_temporal_sup	223	220	60	0
11175	ctx_lh_S_temporal_transverse	ctx_lh_S_temporal_transverse	221	60	60	0
12100	ctx_rh_Unknown	ctx_rh_Unknown	0	0	0	0
12101	ctx_rh_G_and_S_frontomargin	ctx_rh_G_and_S_frontomargin	23	220	60	0
12102	ctx_rh_G_and_S_occipital_inf	ctx_rh_G_and_S_occipital_inf	23	60	180	0
12103	ctx_rh_G_and_S_paracentral	ctx_rh_G_and_S_paracentral	63	100	60	0
12104	ctx_rh_G_and_S_subcentral	ctx_rh_G_and_S_subcentral	63	20	220	0
12105	ctx_rh_G_and_S_transv_frontopol	ctx_rh_G_and_S_transv_frontopol	13	0	250	0
12106	ctx_rh_G_and_S_cingul-Ant	ctx_rh_G_and_S_cingul-Ant	26	60	0	0
12107	ctx_rh_G_and_S_cingul-Mid-Ant	ctx_rh_G_and_S_cingul-Mid-Ant	26	60	75	0
12108	ctx_rh_G_and_S_cingul-Mid-Post	ctx_rh_G_and_S_cingul-Mid-Post	26	60	150	0
12109	ctx_rh_G_cingul-Post-dorsal	ctx_rh_G_cingul-Post-dorsal	25	60	250	0
12110	ctx_rh_G_cingul-Post-ventral	ctx_rh_G_cingul-Post-ventral	60	25	25	0
12111	ctx_rh_G_cuneus	ctx_rh_G_cuneus	180	20	20	0
12112	ctx_rh_G_front_inf-Opercular	ctx_rh_G_front_inf-Opercular	220	20	100	0
12113	ctx_rh_G_front_inf-Orbital	ctx_rh_G_front_inf-Orbital	140	60	60	0
12114	ctx_rh_G_front_inf-Triangul	ctx_rh_G_front_inf-Triangul	180	220	140	0
